channel,vbias_V,risetime_ms,amplitude_mV,freq_sigma_Hz
31,0.600,1.781441,4.763267,30.434
31,1.000,1.425151,4.304359,40.340
31,1.400,1.221121,3.880032,48.679
31,1.800,1.076453,3.555786,56.218
31,2.000,1.022658,3.419677,59.594
31,3.000,0.846561,2.915397,73.272
31,4.000,0.738996,2.568738,83.485
31,5.000,0.668268,2.313303,91.916
31,6.000,0.615008,2.113314,99.124
31,8.000,0.539271,1.809979,111.207
31,10.000,0.482386,1.585504,121.069
31,20.000,0.361132,1.018210,151.153
31,26.000,0.330293,0.849635,162.099
31,30.000,0.314766,0.764623,167.482
31,40.000,0.289931,0.618823,177.485
34,0.600,2.369193,1.562028,22.928
34,1.000,2.101785,2.058465,26.145
34,1.400,1.880909,2.308547,29.600
34,1.800,1.716555,2.412022,32.894
34,2.000,1.644776,2.440126,34.462
34,3.000,1.389205,2.421079,41.654
34,4.000,1.219749,2.317061,47.903
34,5.000,1.102897,2.204652,53.244
34,6.000,1.020466,2.072425,57.995
34,8.000,0.899858,1.858477,65.860
34,10.000,0.817887,1.688306,72.364
34,20.000,0.627992,1.153174,93.878
34,26.000,0.579303,0.980923,101.919
34,30.000,0.554635,0.892830,106.582
34,40.000,0.515199,0.737938,115.577
37,0.600,4.557370,5.924068,14.598
37,1.000,3.129272,5.221188,21.605
37,1.400,2.484860,4.787576,28.037
37,1.800,2.126992,4.544228,33.580
37,2.000,2.003630,4.457490,35.899
37,3.000,1.593460,4.201813,46.588
37,4.000,1.371651,4.053878,55.079
37,5.000,1.217313,3.915091,62.731
37,6.000,1.102105,3.788457,69.875
37,8.000,0.939022,3.516254,82.906
37,10.000,0.828895,3.280295,94.531
37,20.000,0.565636,2.426842,138.322
37,26.000,0.496062,2.107207,156.553
37,30.000,0.458111,1.924880,166.542
37,40.000,0.398925,1.616876,186.274
40,0.600,2.379038,60.387586,81.938
40,1.000,,15.368000,95.519
40,1.400,8.889453,26.456329,96.233
40,1.800,5.895676,38.734442,127.384
40,2.000,4.941998,31.419458,122.209
40,3.000,2.477989,24.940998,112.460
40,4.000,1.518455,9.801801,108.661
40,5.000,0.846031,2.202726,40.430
40,6.000,0.787409,2.232724,66.048
40,8.000,0.695225,2.328988,112.875
40,10.000,0.631073,2.312694,125.466
40,20.000,0.437303,1.898250,217.093
40,26.000,0.374205,1.656598,259.208
40,30.000,0.349789,1.553855,281.405
40,40.000,0.297133,1.289217,326.304
41,0.600,2.525035,1.463017,29.222
41,1.000,1.947136,1.322350,38.828
41,1.400,1.591782,1.257927,46.615
41,1.800,1.438255,1.224734,52.650
41,2.000,1.363771,1.209406,56.357
41,3.000,1.161278,1.177666,106.228
41,4.000,1.044146,1.172135,77.487
41,5.000,0.946695,1.168830,73.083
41,6.000,0.867274,1.148157,79.120
41,8.000,0.773759,1.118979,89.689
41,10.000,0.702457,1.069423,99.744
41,20.000,0.501447,0.817918,137.163
41,26.000,0.444042,0.707622,150.943
41,30.000,0.422779,0.650169,157.485
41,40.000,0.386667,0.543738,170.205
71,0.600,2.261581,4.321273,26.293
71,1.000,1.825948,4.887824,33.850
71,1.400,1.536838,5.011591,41.053
71,1.800,1.360271,4.993932,47.269
71,2.000,1.288661,4.948170,50.300
71,3.000,1.049047,4.643936,63.524
71,4.000,0.903819,4.298046,74.851
71,5.000,0.829464,4.079936,82.192
71,6.000,0.752727,3.818313,91.183
71,8.000,0.647574,3.363265,106.483
71,10.000,0.578386,3.017346,118.877
71,20.000,0.415629,2.002852,158.366
71,26.000,0.375692,1.679975,172.442
71,30.000,0.354613,1.507635,179.920
71,40.000,0.319220,1.215124,193.248
83,0.600,1.996563,3.334779,27.769
83,1.000,1.591759,3.472437,35.416
83,1.400,1.352920,3.395297,42.151
83,1.800,1.197263,3.248899,48.284
83,2.000,1.136571,3.170573,50.984
83,3.000,0.931444,2.789885,62.988
83,4.000,0.810726,2.496163,72.794
83,5.000,0.732390,2.248808,80.838
83,6.000,0.678017,2.058808,87.307
83,8.000,0.607264,1.788618,97.347
83,10.000,0.558258,1.586739,105.431
83,20.000,0.452558,1.055093,130.155
83,26.000,0.422334,0.893727,138.727
83,30.000,0.417544,0.813756,142.412
83,40.000,0.388574,0.670369,152.490
91,0.600,1.361579,2.080556,32.023
91,1.000,1.196896,1.998614,39.247
91,1.400,1.092022,1.870085,44.970
91,1.800,1.022242,1.754325,49.657
91,2.000,0.993983,1.699560,51.789
91,3.000,0.888592,1.483101,60.492
91,4.000,0.821387,1.322959,67.212
91,5.000,0.768777,1.194072,72.751
91,6.000,0.727422,1.091107,77.491
91,8.000,0.669204,0.927844,85.454
91,10.000,0.626143,0.809598,91.528
91,20.000,0.517305,0.500492,110.157
91,26.000,0.478548,0.405502,116.718
91,30.000,0.465360,0.359060,120.641
91,40.000,0.435932,0.280232,127.130
94,0.600,1.368198,10.681598,46.046
94,1.000,492.941745,5.138210,22.196
94,1.400,1.955554,6.197094,31.294
94,1.800,1.654698,5.544293,40.712
94,2.000,1.541132,5.277561,45.179
94,3.000,1.196425,4.472413,64.452
94,4.000,0.999270,3.968306,81.029
94,5.000,0.875140,3.596281,95.441
94,6.000,0.802912,3.369602,105.237
94,8.000,0.671222,2.928425,128.331
94,10.000,0.584949,2.595703,147.643
94,20.000,0.403467,1.740796,207.914
94,26.000,0.350717,1.455561,229.722
94,30.000,0.331100,1.327778,239.456
94,40.000,0.285688,1.060134,259.716
